8,69,27,2.6132907,15.207039,8.0487126
7,87,46,3.09515,59.4100055,57.5771269
99,73,2,29.82828,17.2155478,77.7620224
97,85,89,2.4173904,18.3063658,88.461197
15,75,95,90.7368741,58.5984375,86.2636906
85,37,23,32.7663429,1.9417722,56.5763648
66,66,13,42.953734,59.566234,74.8424086
51,5,59,32.3358069,83.4980165,55.726571
84,80,87,82.6904227,42.9303196,52.6144259
71,87,59,4.3180284,20.5453521,54.5120647
63,84,13,61.0355924,83.727154,95.6877231
36,1,39,15.4160093,89.6401156,71.0306615
86,99,97,27.9379768,99.2635152,45.6884626
67,62,9,75.8246257,27.4453686,58.8835343
34,20,25,90.4221942,38.09267,69.79927
51,64,98,56.390523,27.0288203,93.6998185
80,16,68,18.526021,7.8793626,71.2285977
68,37,43,71.2684247,79.2054035,24.3013725
69,93,89,67.1287715,8.9687608,75.6530403
32,84,23,40.4763838,20.559592,19.0270972
